Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Antioquia                                         ,2007,"7.008,80 ","2.892,20 ","0,41 ","5,03 ","6,61 "
Arauca                                            ,2007,"9.467,00 ","6.589,00 ","0,70 ","11,47 ","8,93 "
Bolívar                                           ,2007,"1.545,00 ","557,70 ","0,36 ","0,97 ","1,46 "
Boyacá                                            ,2007,"1.094,00 ","692,50 ","0,63 ","1,21 ","1,03 "
Caldas                                            ,2007,"976,63 ","642,33 ","0,66 ","1,12 ","0,92 "
Caquetá                                           ,2007,"340,00 ","147,30 ","0,43 ","0,26 ","0,32 "
Casanare                                          ,2007,"30,50 ","19,55 ","0,64 ","0,03 ","0,03 "
Cauca                                             ,2007,"327,14 ","205,31 ","0,63 ","0,36 ","0,31 "
Cesar                                             ,2007,"4.828,00 ","3.120,40 ","0,65 ","5,43 ","4,55 "
Chocó                                             ,2007,"718,25 ","229,05 ","0,32 ","0,40 ","0,68 "
Córdoba                                           ,2007,"567,00 ","345,00 ","0,61 ","0,60 ","0,53 "
Cundinamarca                                      ,2007,"2.577,00 ","1.619,50 ","0,63 ","2,82 ","2,43 "
Guainía                                           ,2007,"54,00 ","16,00 ","0,30 ","0,03 ","0,05 "
Guaviare                                          ,2007,"51,00 ","17,00 ","0,33 ","0,03 ","0,05 "
Huila                                             ,2007,"9.188,50 ","4.447,50 ","0,48 ","7,74 ","8,66 "
La Guajira                                        ,2007,"289,00 ","168,70 ","0,58 ","0,29 ","0,27 "
Magdalena                                         ,2007,"1.363,00 ","818,50 ","0,60 ","1,42 ","1,29 "
Meta                                              ,2007,"1.162,00 ","722,20 ","0,62 ","1,26 ","1,10 "
Nariño                                            ,2007,"6.947,00 ","1.517,49 ","0,22 ","2,64 ","6,55 "
Norte de Santander                                ,2007,"10.946,00 ","5.357,49 ","0,49 ","9,32 ","10,32 "
