Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Antioquia                                         ,2007,"112.343,60 ","120.500,80 ","1,07 ","14,54 ","14,66 "
Bolívar                                           ,2007,"502,00 ","446,00 ","0,89 ","0,05 ","0,07 "
Boyacá                                            ,2007,"11.374,50 ","9.683,10 ","0,85 ","1,17 ","1,48 "
Caldas                                            ,2007,"78.393,65 ","92.815,00 ","1,18 ","11,20 ","10,23 "
Caquetá                                           ,2007,"2.295,00 ","2.134,00 ","0,93 ","0,26 ","0,30 "
Casanare                                          ,2007,"2.605,00 ","2.048,40 ","0,79 ","0,25 ","0,34 "
Cauca                                             ,2007,"53.471,00 ","51.348,00 ","0,96 ","6,19 ","6,98 "
Cesar                                             ,2007,"23.172,00 ","13.278,50 ","0,57 ","1,60 ","3,02 "
Chocó                                             ,2007,"290,00 ","205,90 ","0,71 ","0,02 ","0,04 "
Cundinamarca                                      ,2007,"43.017,30 ","33.729,14 ","0,78 ","4,07 ","5,61 "
Huila                                             ,2007,"89.661,56 ","129.052,51 ","1,44 ","15,57 ","11,70 "
La Guajira                                        ,2007,"4.785,00 ","2.958,70 ","0,62 ","0,36 ","0,62 "
Magdalena                                         ,2007,"17.506,00 ","14.005,00 ","0,80 ","1,69 ","2,28 "
Meta                                              ,2007,"2.048,00 ","1.617,20 ","0,79 ","0,20 ","0,27 "
Nariño                                            ,2007,"24.458,50 ","31.770,05 ","1,30 ","3,83 ","3,19 "
Norte de Santander                                ,2007,"30.171,84 ","13.593,25 ","0,45 ","1,64 ","3,94 "
Putumayo                                          ,2007,"35,00 ","34,00 ","0,97 ","0,00 ","0,00 "
Quindío                                           ,2007,"19.904,00 ","25.426,00 ","1,28 ","3,07 ","2,60 "
Risaralda                                         ,2007,"47.689,25 ","72.842,55 ","1,53 ","8,79 ","6,22 "
Santander                                         ,2007,"34.406,67 ","29.469,52 ","0,86 ","3,56 ","4,49 "
Tolima                                            ,2007,"91.679,10 ","112.322,38 ","1,23 ","13,55 ","11,96 "
Valle del Cauca                                   ,2007,"76.667,80 ","69.618,24 ","0,91 ","8,40 ","10,00 "
Antioquia                                         ,2008,"114.694,00 ","113.505,20 ","0,99 ","13,70 ","15,13 "
Bolívar                                           ,2008,"572,00 ","711,00 ","1,24 ","0,09 ","0,08 "
Boyacá                                            ,2008,"10.778,50 ","9.547,30 ","0,89 ","1,15 ","1,42 "
Caldas                                            ,2008,"74.897,00 ","86.884,00 ","1,16 ","10,49 ","9,88 "
Caquetá                                           ,2008,"2.735,00 ","2.469,00 ","0,90 ","0,30 ","0,36 "
Casanare                                          ,2008,"2.149,00 ","1.388,13 ","0,65 ","0,17 ","0,28 "
Cauca                                             ,2008,"56.208,00 ","48.073,00 ","0,86 ","5,80 ","7,41 "
Cesar                                             ,2008,"23.198,00 ","13.841,45 ","0,60 ","1,67 ","3,06 "
Chocó                                             ,2008,"90,00 ","68,00 ","0,76 ","0,01 ","0,01 "
Cundinamarca                                      ,2008,"43.633,35 ","78.254,77 ","1,79 ","9,44 ","5,75 "
Huila                                             ,2008,"89.131,20 ","131.316,47 ","1,47 ","15,85 ","11,75 "
La Guajira                                        ,2008,"4.553,00 ","2.328,90 ","0,51 ","0,28 ","0,60 "
Magdalena                                         ,2008,"17.521,00 ","14.017,00 ","0,80 ","1,69 ","2,31 "
Meta                                              ,2008,"2.146,00 ","1.656,96 ","0,77 ","0,20 ","0,28 "
Nariño                                            ,2008,"25.582,00 ","31.262,50 ","1,22 ","3,77 ","3,37 "
Norte de Santander                                ,2008,"30.171,84 ","13.593,25 ","0,45 ","1,64 ","3,98 "
Putumayo                                          ,2008,"31,00 ","35,60 ","1,15 ","0,00 ","0,00 "
Quindío                                           ,2008,"19.571,00 ","23.669,00 ","1,21 ","2,86 ","2,58 "
Risaralda                                         ,2008,"47.227,00 ","60.079,00 ","1,27 ","7,25 ","6,23 "
Santander                                         ,2008,"34.169,37 ","29.016,75 ","0,85 ","3,50 ","4,51 "
Tolima                                            ,2008,"86.829,20 ","101.201,88 ","1,17 ","12,21 ","11,45 "
Valle del Cauca                                   ,2008,"72.419,00 ","65.666,43 ","0,91 ","7,93 ","9,55 "
Antioquia                                         ,2009,"112.420,20 ","103.703,00 ","0,92 ","14,63 ","14,90 "
Bolívar                                           ,2009,"770,00 ","292,60 ","0,38 ","0,04 ","0,10 "
Boyacá                                            ,2009,"10.672,50 ","8.567,97 ","0,80 ","1,21 ","1,41 "
Caldas                                            ,2009,"73.083,00 ","81.668,22 ","1,12 ","11,52 ","9,68 "
Caquetá                                           ,2009,"2.332,00 ","2.332,00 ","1,00 ","0,33 ","0,31 "
Casanare                                          ,2009,"1.904,00 ","2.079,70 ","1,09 ","0,29 ","0,25 "
Cauca                                             ,2009,"57.860,00 ","47.221,00 ","0,82 ","6,66 ","7,67 "
Cesar                                             ,2009,"23.420,00 ","12.770,00 ","0,55 ","1,80 ","3,10 "
Chocó                                             ,2009,"70,00 ","78,75 ","1,13 ","0,01 ","0,01 "
Cundinamarca                                      ,2009,"43.475,84 ","37.118,07 ","0,85 ","5,24 ","5,76 "
Huila                                             ,2009,"86.726,78 ","104.609,42 ","1,21 ","14,76 ","11,49 "
La Guajira                                        ,2009,"4.488,00 ","2.340,40 ","0,52 ","0,33 ","0,59 "
Magdalena                                         ,2009,"17.036,00 ","13.412,80 ","0,79 ","1,89 ","2,26 "
Meta                                              ,2009,"2.216,00 ","1.672,60 ","0,75 ","0,24 ","0,29 "
Nariño                                            ,2009,"26.467,20 ","27.487,71 ","1,04 ","3,88 ","3,51 "
Norte de Santander                                ,2009,"33.552,58 ","10.221,69 ","0,30 ","1,44 ","4,45 "
Putumayo                                          ,2009,"23,00 ","26,70 ","1,16 ","0,00 ","0,00 "
