Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Cauca                                             ,2007,"335,50 ","2.112,00 ","6,30 ","4,24 ","5,38 "
Casanare                                          ,2007,"18,00 ","276,00 ","15,33 ","0,55 ","0,29 "
La Guajira                                        ,2007,"62,00 ","424,00 ","6,84 ","0,85 ","0,99 "
Norte de Santander                                ,2007,"209,30 ","1.421,70 ","6,79 ","2,86 ","3,36 "
Boyacá                                            ,2007,"702,50 ","6.378,50 ","9,08 ","12,81 ","11,27 "
Cundinamarca                                      ,2007,"295,50 ","2.685,00 ","9,09 ","5,39 ","4,74 "
Huila                                             ,2007,"1.476,00 ","12.223,70 ","8,28 ","24,56 ","23,68 "
Magdalena                                         ,2007,"278,00 ","1.938,00 ","6,97 ","3,89 ","4,46 "
Tolima                                            ,2007,"200,87 ","1.746,19 ","8,69 ","3,51 ","3,22 "
Caldas                                            ,2007,"199,60 ","1.905,35 ","9,55 ","3,83 ","3,20 "
Quindío                                           ,2007,"87,80 ","434,40 ","4,95 ","0,87 ","1,41 "
Nariño                                            ,2007,"515,50 ","2.823,50 ","5,48 ","5,67 ","8,27 "
Risaralda                                         ,2007,"185,00 ","2.882,70 ","15,58 ","5,79 ","2,97 "
Chocó                                             ,2007,"12,50 ","158,00 ","12,64 ","0,32 ","0,20 "
Antioquia                                         ,2007,"47,00 ","363,50 ","7,73 ","0,73 ","0,75 "
Meta                                              ,2007,"72,00 ","482,00 ","6,69 ","0,97 ","1,16 "
Cesar                                             ,2007,"270,00 ","1.727,00 ","6,40 ","3,47 ","4,33 "
Valle del Cauca                                   ,2007,"989,60 ","7.607,96 ","7,69 ","15,28 ","15,88 "
Putumayo                                          ,2007,"190,00 ","950,00 ","5,00 ","1,91 ","3,05 "
Santander                                         ,2007,"86,00 ","1.236,00 ","14,37 ","2,48 ","1,38 "
Boyacá                                            ,2008,"505,10 ","4.599,10 ","9,11 ","9,93 ","8,75 "
Putumayo                                          ,2008,"64,00 ","308,00 ","4,81 ","0,67 ","1,11 "
Tolima                                            ,2008,"211,00 ","2.819,00 ","13,36 ","6,09 ","3,66 "
