Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Otros Departamentos                               ,2007,"60,00 ","140,00 ","4,67 ","0,02 ","0,03 "
Antioquia                                         ,2007,"862,00 ","1.818,00 ","4,22 ","0,24 ","0,39 "
Sucre                                             ,2007,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Nariño                                            ,2007,"50.660,00 ","144.802,00 ","5,72 ","19,25 ","22,86 "
Magdalena                                         ,2007,"60.660,00 ","207.838,00 ","6,85 ","27,63 ","27,37 "
La Guajira                                        ,2007,"1.116,00 ","4.086,00 ","7,32 ","0,54 ","0,50 "
Cesar                                             ,2007,"64.299,72 ","235.843,40 ","7,34 ","31,35 ","29,01 "
Casanare                                          ,2007,"23.740,00 ","93.868,00 ","7,91 ","12,48 ","10,71 "
Caquetá                                           ,2007,"770,00 ","1.151,00 ","2,99 ","0,15 ","0,35 "
Meta                                              ,2007,"115.802,00 ","374.141,60 ","6,46 ","49,74 ","52,25 "
Cundinamarca                                      ,2007,"7.202,00 ","27.367,60 ","7,60 ","3,64 ","3,25 "
Chocó                                             ,2007,"9.624,00 ","29.830,60 ","6,20 ","3,97 ","4,34 "
Bolívar                                           ,2007,"9.504,00 ","33.908,00 ","7,14 ","4,51 ","4,29 "
Norte de Santander                                ,2007,"14.446,00 ","50.522,00 ","6,99 ","6,72 ","6,52 "
Atlántico                                         ,2007,"274,76 ","1.039,81 ","7,57 ","0,14 ","0,12 "
Santander                                         ,2007,"84.000,00 ","297.278,00 ","7,08 ","39,52 ","37,90 "
Vichada                                           ,2007,"60,00 ","140,00 ","4,67 ","0,02 ","0,03 "
Córdoba                                           ,2007,"182,00 ","680,00 ","7,47 ","0,09 ","0,08 "
Sucre                                             ,2008,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Magdalena                                         ,2008,"62.874,00 ","215.428,00 ","6,85 ","26,41 ","25,50 "
Antioquia                                         ,2008,"816,00 ","1.814,00 ","4,45 ","0,22 ","0,33 "
Bolívar                                           ,2008,"18.128,86 ","74.780,09 ","8,25 ","9,17 ","7,35 "
Chocó                                             ,2008,"10.050,00 ","32.394,00 ","6,45 ","3,97 ","4,08 "
Nariño                                            ,2008,"30.400,00 ","63.049,60 ","4,15 ","7,73 ","12,33 "
Córdoba                                           ,2008,"226,00 ","820,00 ","7,26 ","0,10 ","0,09 "
Otros Departamentos                               ,2008,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
