Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Boyacá                                            ,2007,"38.415,00 ","634.492,63 ","16,52 ","24,81 ","27,04 "
Caldas                                            ,2007,"567,00 ","6.633,50 ","11,70 ","0,26 ","0,40 "
Cauca                                             ,2007,"3.073,00 ","52.269,00 ","17,01 ","2,04 ","2,16 "
Cundinamarca                                      ,2007,"60.893,00 ","1.110.356,00 ","18,23 ","43,42 ","42,87 "
Huila                                             ,2007,"54,00 ","664,00 ","12,30 ","0,03 ","0,04 "
Meta                                              ,2007,"1.787,00 ","31.906,00 ","17,85 ","1,25 ","1,26 "
Nariño                                            ,2007,"26.345,00 ","507.246,60 ","19,25 ","19,84 ","18,55 "
Norte de Santander                                ,2007,"5.712,00 ","134.859,40 ","23,61 ","5,27 ","4,02 "
Putumayo                                          ,2007,"31,00 ","290,90 ","9,38 ","0,01 ","0,02 "
Quindío                                           ,2007,"19,00 ","315,40 ","16,60 ","0,01 ","0,01 "
Santander                                         ,2007,"1.845,50 ","34.676,40 ","18,79 ","1,36 ","1,30 "
Tolima                                            ,2007,"3.302,00 ","43.473,00 ","13,17 ","1,70 ","2,32 "
Boyacá                                            ,2008,"41.929,50 ","681.236,50 ","16,25 ","27,74 ","30,45 "
Caldas                                            ,2008,"377,00 ","4.330,00 ","11,49 ","0,18 ","0,27 "
Cauca                                             ,2008,"3.416,00 ","59.566,00 ","17,44 ","2,43 ","2,48 "
Cundinamarca                                      ,2008,"54.592,00 ","1.023.009,40 ","18,74 ","41,66 ","39,64 "
Huila                                             ,2008,"30,00 ","310,00 ","10,33 ","0,01 ","0,02 "
Meta                                              ,2008,"1.639,00 ","25.154,00 ","15,35 ","1,02 ","1,19 "
Nariño                                            ,2008,"26.255,79 ","492.766,89 ","18,77 ","20,07 ","19,07 "
Norte de Santander                                ,2008,"3.879,00 ","83.567,00 ","21,54 ","3,40 ","2,82 "
Putumayo                                          ,2008,"32,00 ","318,00 ","9,94 ","0,01 ","0,02 "
Quindío                                           ,2008,"13,50 ","224,10 ","16,60 ","0,01 ","0,01 "
Santander                                         ,2008,"2.219,50 ","40.034,00 ","18,04 ","1,63 ","1,61 "
Tolima                                            ,2008,"3.320,00 ","45.060,00 ","13,57 ","1,84 ","2,41 "
Boyacá                                            ,2009,"44.026,67 ","765.682,28 ","17,39 ","29,90 ","32,63 "
Caldas                                            ,2009,"530,00 ","6.385,00 ","12,05 ","0,25 ","0,39 "
Cauca                                             ,2009,"2.896,00 ","48.672,80 ","16,81 ","1,90 ","2,15 "
Cundinamarca                                      ,2009,"48.535,70 ","1.009.385,02 ","20,80 ","39,41 ","35,97 "
Huila                                             ,2009,"19,50 ","191,75 ","9,83 ","0,01 ","0,01 "
Meta                                              ,2009,"1.435,00 ","23.062,00 ","16,07 ","0,90 ","1,06 "
Nariño                                            ,2009,"26.870,50 ","520.386,98 ","19,37 ","20,32 ","19,91 "
Norte de Santander                                ,2009,"4.049,00 ","86.686,00 ","21,41 ","3,38 ","3,00 "
Putumayo                                          ,2009,"36,50 ","368,57 ","10,10 ","0,01 ","0,03 "
Quindío                                           ,2009,"4,00 ","56,80 ","14,20 ","0,00 ","0,00 "
Santander                                         ,2009,"3.494,50 ","59.171,50 ","16,93 ","2,31 ","2,59 "
Tolima                                            ,2009,"3.036,00 ","41.038,20 ","13,52 ","1,60 ","2,25 "
Boyacá                                            ,2010,"46.101,60 ","813.549,76 ","17,65 ","28,01 ","31,03 "
Caldas                                            ,2010,"423,00 ","5.674,00 ","13,41 ","0,20 ","0,28 "
Cauca                                             ,2010,"2.499,00 ","47.078,00 ","18,84 ","1,62 ","1,68 "
Cundinamarca                                      ,2010,"56.274,75 ","1.261.298,47 ","22,41 ","43,43 ","37,88 "
Huila                                             ,2010,"45,75 ","389,50 ","8,51 ","0,01 ","0,03 "
Meta                                              ,2010,"1.272,00 ","21.956,00 ","17,26 ","0,76 ","0,86 "
Nariño                                            ,2010,"31.153,39 ","558.705,18 ","17,93 ","19,24 ","20,97 "
Norte de Santander                                ,2010,"4.159,00 ","86.901,50 ","20,89 ","2,99 ","2,80 "
Putumayo                                          ,2010,"32,50 ","295,75 ","9,10 ","0,01 ","0,02 "
Santander                                         ,2010,"3.704,00 ","72.930,40 ","19,69 ","2,51 ","2,49 "
Tolima                                            ,2010,"2.911,00 ","35.581,40 ","12,22 ","1,23 ","1,96 "
Boyacá                                            ,2011,"41.848,70 ","724.943,71 ","17,32 ","26,56 ","28,65 "
Caldas                                            ,2011,"137,00 ","2.797,50 ","20,42 ","0,10 ","0,09 "
Cauca                                             ,2011,"1.947,37 ","33.360,81 ","17,13 ","1,22 ","1,33 "
Cundinamarca                                      ,2011,"59.990,50 ","1.194.952,90 ","19,92 ","43,79 ","41,07 "
Huila                                             ,2011,"50,50 ","373,65 ","7,40 ","0,01 ","0,03 "
Meta                                              ,2011,"1.456,00 ","21.052,00 ","14,46 ","0,77 ","1,00 "
Nariño                                            ,2011,"28.716,89 ","535.347,68 ","18,64 ","19,62 ","19,66 "
